Datum;Wochentag;Arbeitsbeginn;Pause_min;Mittag_beginn;Mittag_ende;Arbeitsende;Kommentar
03.11.2025;Montag;08:00;15;12:00;12:30;17:00;
04.11.2025;Dienstag;08:00;15;12:00;12:30;17:00;
05.11.2025;Mittwoch;08:00;15;12:00;12:30;18:30;Überzeit
06.11.2025;Donnerstag;08:00;15;12:15;12:45;17:00;
07.11.2025;Freitag;08:30;15;12:00;12:30;17:00;Später Arbeitsbeginn
10.11.2025;Montag;08:00;15;12:00;12:30;17:00;
11.11.2025;Dienstag;08:00;15;12:00;12:30;17:00;
12.11.2025;Mittwoch;08:00;30;;;17:30;Keine Mittagspause eingetragen
13.11.2025;Donnerstag;08:15;15;12:15;12:45;17:00;
14.11.2025;Freitag;08:00;15;12:00;12:30;16:30;Früher Feierabend
17.11.2025;Montag;08:00;15;12:00;12:30;19:00;Langer Tag / Überzeit
18.11.2025;Dienstag;08:00;15;12:00;12:30;17:00;
19.11.2025;Mittwoch;08:00;15;12:00;12:30;17:00;
20.11.2025;Donnerstag;08:00;15;12:00;12:30;17:00;
21.11.2025;Freitag;08:00;15;12:00;12:30;16:30;
24.11.2025;Montag;08:00;15;12:00;12:30;17:00;
25.11.2025;Dienstag;08:00;15;12:00;12:30;21:15;Überzeit
26.11.2025;Mittwoch;08:00;15;12:00;12:30;17:00;
27.11.2025;Donnerstag;08:00;15;12:15;12:45;17:00;
28.11.2025;Freitag;09:30;15;12:00;12:30;16:30;Später Arbeitsbeginn
